,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
40,91,9067.241567902653,[0.16598414 0.16874404 0.16641793 0.16619191 0.17056849 0.16209349],12858.648336504575,[ 0.40333959 -0.60711892  0.0054286  -0.00842348  0.81455408  0.39222013],[ 0.00708753 -0.03596144 -0.01139508 -0.00866991 -0.00151588  0.01327571]
41,92,9095.45737634031,[0.16255051 0.16623716 0.16101398 0.16738659 0.16895583 0.17385594],13078.398859403467,[ 0.48459028 -0.59809413  0.00517271 -0.06475275  0.81444239  0.3586415 ],[ 0.0065082  -0.03554476 -0.01174327 -0.01156538 -0.00051073  0.00149071]
42,93,9021.06097977399,[0.16635189 0.16457687 0.16768053 0.1666187  0.16903181 0.1657402 ],13174.725915829542,[ 0.54608717 -0.58261732  0.00512439 -0.09869773  0.8133368   0.31676669],[ 0.00517233 -0.03455368 -0.01290488 -0.01322084  0.00101008 -0.00157477]
43,94,9214.746269967398,[0.16023667 0.16218158 0.16363548 0.16801747 0.16450961 0.1814192 ],13443.53798548372,[ 0.52558571 -0.57322363  0.00503662 -0.22324499  1.00439313  0.26145316],[ 0.00367099 -0.03358096 -0.01366486 -0.01453976  0.00243826 -0.00575173]
44,95,9195.143489139184,[0.16667465 0.17111722 0.16309679 0.16673866 0.16512415 0.16724853],13085.236695256826,[ 0.53894108 -0.62333099  0.00505374 -0.22900567  1.03932194  0.2690199 ],[ 0.00176772 -0.03224115 -0.01388517 -0.01366533  0.00385023  0.00701596]
45,96,9312.242386913591,[0.16286173 0.1657227  0.16003907 0.16949807 0.16601271 0.17586572],13233.908968596292,[ 0.50625623 -0.57778512 -0.01621752 -0.23322424  1.03670242  0.28426822],[ 0.000105   -0.0297591  -0.01459883 -0.0125734   0.00436739  0.01347804]
46,97,9518.48120737193,[0.15771705 0.16379684 0.17305345 0.16906148 0.16455169 0.17181949],13196.260064687784,[ 0.45350551 -0.55390863 -0.04907187 -0.24253388  1.04932626  0.34268261],[-0.00164144 -0.0267358  -0.01585206 -0.00980487  0.0050158   0.02408988]
47,98,9530.165643847366,[0.16784585 0.1679856  0.16547566 0.16613952 0.16775624 0.16479712],13211.03509177022,[ 0.30724735 -0.5311397  -0.06569284 -0.15629439  1.05644721  0.38943237],[-0.00427119 -0.023342   -0.01434404 -0.00552048  0.00576315  0.03432279]
48,99,9513.565283506285,[0.1715648  0.16272488 0.1685068  0.16646979 0.16801651 0.16271722],13356.362056490485,[ 0.1696543  -0.49276216 -0.09344561 -0.04891474  1.05161825  0.41384995],[-0.00607435 -0.01955556 -0.01297172 -0.0020333   0.00650064  0.0363686 ]
49,100,9422.97551951589,[0.16647551 0.16567291 0.16611999 0.16866106 0.16825534 0.16481518],13328.883908821343,[ 0.09994838 -0.48619936 -0.11606185  0.00957555  1.05378621  0.43895107],[-0.0062831  -0.01651737 -0.01117087  0.00071622  0.00713624  0.03128996]
50,101,9531.016217832861,[0.16821403 0.17168636 0.1643864  0.16584169 0.16283324 0.16703827],12979.62583652111,[ 0.02139566 -0.52023519 -0.14715425  0.10371267  1.06941215  0.47286895],[-0.00670962 -0.01390409 -0.00983468  0.00304964  0.00739666  0.02297856]
51,102,9761.40593780682,[0.16424366 0.16066192 0.16310288 0.16981938 0.16208943 0.18008273],13688.050443994482,[-0.00616445 -0.47142689 -0.13986517  0.14545882  1.01012458  0.4618731 ],[-0.00597645 -0.01010829 -0.00852166  0.00515737  0.00686291  0.01658705]
52,103,9771.517501119706,[0.16493727 0.16763076 0.16588309 0.16078624 0.16363226 0.17713038],13698.607836288953,[-0.09935051 -0.47435771 -0.15534751  0.24581402  0.99216014  0.49108156],[-0.00482766 -0.00693511 -0.00708307  0.00868693  0.00606947  0.02205866]
53,104,9820.119606769647,[0.16745327 0.17052503 0.1683508  0.17195646 0.16439192 0.15732252],13136.01962531187,[-0.15074259 -0.45960113 -0.16706542  0.26582349  1.02572388  0.48586177],[-0.00415058 -0.00380857 -0.00578241  0.00956667  0.00456732  0.02995512]
54,105,9897.514030101394,[0.1695324  0.16376236 0.16520093 0.16704543 0.16748725 0.16697163],13380.103139252413,[-0.18980795 -0.40027596 -0.1638757   0.33451285  0.93775316  0.4816936 ],[-0.00308384 -0.00023065 -0.00394982  0.0116495   0.00288703  0.02621787]
55,106,10204.554583510973,[0.16617482 0.16458382 0.19406723 0.15897422 0.16498053 0.15121938],12429.93501623238,[-0.23973819 -0.43870789 -0.21319615  0.53073275  0.87583643  0.48507305],[-0.00114794  0.00259764 -0.00230983  0.01335487  0.00193337  0.02215207]
56,107,10544.689367463096,[0.16199732 0.17159439 0.17339632 0.16386254 0.16232667 0.16682277],12278.921145502532,[-0.24381661 -0.40974897 -0.23207988  0.54597636  0.86284041  0.47682869],[0.00147674 0.00547182 0.00585577 0.0134766  0.00190216 0.00995412]
57,108,10652.508826269795,[0.17004051 0.16340321 0.1762235  0.17218848 0.16173779 0.15640651],12652.31359929778,[-0.24390832 -0.38577946  0.52089138  0.65114691  0.16440148  0.29324801],[0.00367431 0.00941391 0.01509408 0.01386278 0.00205562 0.00343749]
