,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky
68,172,16460.180377120574,[0.16321738 0.16573642 0.1638105  0.16405761 0.16159352 0.18158456],6743.97648887498,[ 0.69339245  0.23950282  0.31095046 -0.76932157  0.07656527  0.44891057]
69,173,16391.04419941611,[0.16866209 0.15234972 0.16522356 0.16621489 0.16710843 0.18044132],7376.485289143233,[ 0.63892666 -0.56937147  0.282033    0.42881449 -0.38124635  0.60084367]
70,174,16143.512848484314,[0.1653782  0.16744619 0.15573662 0.16850468 0.16562451 0.1773098 ],7589.8271045437405,[ 0.60695977  0.38947607 -0.48250511  0.3639901  -0.17568036  0.29775953]
71,175,16362.905437247515,[0.16071705 0.17242224 0.17094076 0.16111267 0.16483683 0.16997045],7461.338471862961,[ 1.1998893   0.48913926 -0.5514363  -0.11241297 -0.52740064  0.50222134]
72,176,16527.957308105015,[0.16500858 0.16482384 0.16796332 0.17122098 0.16487188 0.1661114 ],7314.992062893252,[ 1.07792427  0.86998504 -0.00458928 -0.25404095 -0.5375985  -0.15168057]
73,177,17265.935343467332,[0.16019931 0.16400095 0.16871912 0.17547884 0.15720102 0.17440076],7492.5985498004175,[ 0.49930608  1.08221127 -0.27898783  0.25691335 -0.39755762 -0.16188525]
74,178,17260.15322402695,[0.16662509 0.16330533 0.16298924 0.17305997 0.16893083 0.16508955],7114.362852117505,[ 1.86514963  0.31138498 -0.43193847 -0.72953298 -0.42431853  0.40925537]
75,179,16749.203993895502,[0.17280196 0.17019844 0.14894899 0.16665859 0.1744392  0.16695282],7217.226986700407,[ 1.09395664  0.68910427 -0.39548874  0.32584841 -0.96905456  0.25563398]
76,180,16667.200443221263,[0.17013857 0.17135866 0.15686716 0.16890789 0.16929473 0.16343299],7042.411307001631,[-0.08350164  0.08472457 -0.0839088  -0.44473377  1.02073854  0.5066811 ]
77,181,17163.383285021446,[0.16070069 0.17092633 0.16789652 0.17167805 0.16249633 0.16630207],6958.022494981039,[ 0.37721303  0.68403816 -0.43556447 -0.33319454  0.806924   -0.09941618]
