,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
85,189,16589.664207690876,[0.16494125 0.16772854 0.16919741 0.16705363 0.16498663 0.16609255],8323.38544684641,[ 0.14252149  0.27221571 -0.13832293  0.83111392  0.54659449 -0.65412268],[ 0.00034128  0.00804183 -0.03686777  0.0108512   0.00017764 -0.110918  ]
86,190,16616.530370805915,[0.16788802 0.16295701 0.16289182 0.17169701 0.16822016 0.16634598],8542.864093666183,[ 0.10652774  0.28470197 -0.09451221  0.75259979  0.60259108 -0.65190837],[ 0.00053438  0.01226612 -0.02574823  0.00804095  0.00054619 -0.11965753]
87,191,16760.971708354256,[0.16246009 0.16897717 0.1615167  0.16891507 0.16467476 0.1734562 ],8423.396385301741,[ 0.09631035  0.32048636 -0.07616836  0.74214332  0.64807864 -0.73085031],[ 0.0009641   0.01402629 -0.01626422  0.00635671  0.00121465 -0.11504865]
88,192,17118.73742220963,[0.16493554 0.16034135 0.16572562 0.16965641 0.16175958 0.17758149],8031.811600210366,[ 0.07757513  0.34225537 -0.06704309  0.78432214  0.67789196 -0.8150015 ],[ 0.00076296  0.01597794 -0.00861684  0.00549323  0.00159615 -0.09426742]
89,193,17141.33761250171,[0.16782558 0.17200617 0.17732673 0.16788368 0.15880373 0.15615412],8259.72633307262,[ 0.0073494   0.34397483 -0.0600117   0.75597446  0.62900422 -0.67629121],[ 0.00092026  0.01617653 -0.00097399  0.0061177   0.00154716 -0.06065202]
90,194,17778.71577154297,[0.15654852 0.16581099 0.1638771  0.16466689 0.16272218 0.18637432],7593.493894689972,[-0.01327888  0.45357204 -0.03531864  0.84279956  0.69296481 -0.94073889],[ 0.00129239  0.01726311  0.00862652  0.00661051 -0.00018253 -0.04072055]
91,195,17770.061350570257,[0.16874193 0.16265206 0.16500859 0.17072939 0.16856078 0.16430726],7640.416534366139,[-0.1057759   0.63561744  0.05111129  0.85779261  0.14052402 -0.57926945],[ 0.00075416  0.01879206  0.01685165  0.00762854 -0.00115484 -0.0014073 ]
92,196,17615.96311803015,[0.17129355 0.17637442 0.17482395 0.16617452 0.16642413 0.14490942],7510.743892846201,[-0.10963909  0.67837383  0.10680441  0.66708125 -0.59243391  0.24981351],[ 0.00067087  0.01851766  0.02194474  0.00894614 -0.00154333  0.02561512]
93,197,18590.586212857157,[0.1628513  0.1586818  0.190868   0.1550074  0.15506644 0.17752508],7935.754946369679,[-0.08693352  0.6452478   0.14349292  0.58302735 -0.55066576  0.26583121],[ 0.00117749  0.0194954   0.02676569  0.00917045 -0.00219402  0.02015471]
94,198,18431.27479424403,[0.16697743 0.16939691 0.15925429 0.16685969 0.16798418 0.1695275 ],7878.569704832336,[-0.03292164  0.64217797  0.19694832  0.42287181 -0.56685623  0.33777976],[ 0.00253872  0.01987835  0.0376707   0.00837565 -0.00332829  0.03176036]
95,199,19203.8791721898,[0.1666137  0.18347504 0.15497396 0.15743472 0.15801564 0.17948695],9026.633496384395,[ 0.20949498  0.56440351  0.17846419  0.22204718 -0.6475108   0.47310093],[ 0.00337904  0.01991233  0.04153536  0.00717583 -0.00420694  0.03739979]
96,200,19106.93369813484,[0.1689626  0.16923368 0.17125547 0.16861912 0.16418162 0.15774752],8944.14369236695,[ 0.55232634  0.48521722  0.18418927  0.04605704 -0.84882442  0.58103455],[ 0.00525859  0.02389529  0.041417    0.0053564  -0.00527823  0.05101931]
97,201,19209.751382464925,[0.16119941 0.16082311 0.1603905  0.1737401  0.17325009 0.17059679],8361.407265876798,[ 0.69438219  0.50358833  0.19064875  0.00522034 -1.06155394  0.66771433],[ 0.00693562  0.02657444  0.04082931  0.00384606 -0.00676479  0.04807152]
98,202,20288.052917929297,[0.15987545 0.1603864  0.17059834 0.16902404 0.15936397 0.18075181],9304.47301668751,[ 0.74627844  0.40679419  0.13515712  0.0050255  -0.96353184  0.67027658],[ 0.00726339  0.02687008  0.03804473  0.00418594 -0.00617004  0.04555464]
