,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
32,136,10073.717218780515,[0.17289867 0.17329003 0.1752445  0.1689353  0.17324919 0.13638231],8894.027977069334,[ 0.07883354 -0.604518   -0.00778522  0.10103388  0.96459653  0.46783926],[-0.00490079 -0.02865683 -0.00122975  0.00334358  0.00299785  0.03297007]
33,137,10177.099150372915,[0.16764283 0.1680011  0.17741213 0.16973383 0.16461766 0.15259245],8502.199450614504,[ 0.08382639 -0.62258842 -0.0087607   0.10877275  0.98759051  0.45115947],[-0.00404724 -0.02762392 -0.00212846  0.0046698   0.00290478  0.02996478]
34,138,10466.406541617527,[0.16468592 0.16910508 0.17731624 0.16907851 0.16171248 0.15810176],8214.692690972452,[ 0.08818043 -0.6439333  -0.00992252  0.11747447  0.99456498  0.45363594],[-0.00309302 -0.02474912  0.00110844  0.00430284  0.00278771  0.02526532]
35,139,10594.369958755218,[0.16304442 0.165308   0.17058056 0.16687267 0.16682434 0.16736999],8366.139978644713,[ 0.08575125 -0.6124426   0.02020583  0.1169206   0.95400694  0.43555798],[-0.00205025 -0.02224844  0.00514262  0.00240368  0.00264946  0.02117999]
36,140,10580.725674038822,[0.15886728 0.16884657 0.17005567 0.16832777 0.16594341 0.1679593 ],8280.199582832985,[ 0.08248453 -0.648104    0.19897876  0.1191638   0.80453418  0.44294274],[-0.00113444 -0.01935505  0.01438665  0.00695752  0.00258827  0.01806497]
37,141,10546.07353536409,[0.16677355 0.16847441 0.16909738 0.16322247 0.16974303 0.16268915],8237.416335646256,[ 0.08270145 -0.645265    0.20228191  0.11693318  0.82101274  0.42233571],[-0.00067529 -0.01592159  0.00521186  0.00441228  0.00247842  0.01525379]
38,142,10535.653460374924,[0.16778861 0.16799685 0.16422487 0.16519667 0.16369257 0.17110044],8131.047941034405,[ 0.08427026 -0.65809172  0.20174124  0.11731074  0.81616429  0.4386052 ],[-0.0002507  -0.01245373  0.00548103  0.00524792  0.00245853  0.01222936]
39,143,10604.604125341497,[0.16498484 0.16407922 0.16355203 0.1647494  0.16726028 0.17537423],8422.788291561828,[ 0.08106309 -0.61742148  0.19237801  0.11268508  0.79593055  0.43536476],[ 0.00018984 -0.00875711  0.00795164  0.00589632  0.00229959  0.00976249]
40,144,10584.22439955536,[0.16531965 0.16747831 0.16362587 0.16852755 0.168147   0.16690163],8417.840157337794,[ 0.08030803 -0.63570142  0.20415245  0.11380169  0.80200238  0.43543688],[ 0.00059079 -0.00517761  0.0084742  -0.00040536  0.00220198  0.00863764]
41,145,10586.941056160824,[0.16947896 0.16586114 0.16138507 0.17243836 0.16650521 0.16433127],8378.434638175291,[ 0.08207187 -0.63453219  0.1986724   0.11833199  0.80523581  0.43022013],[ 0.00086616 -0.00164951  0.00997346  0.0003923   0.00214268  0.00738779]
